Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Puerto Copy],Precio [Puerto Copy],En inventario [Puerto Copy],Existencias bajas [Puerto Copy],"impuesto - ""IVA"" (16%)"
carpeta,10127,CARPETA,PAPELERÍA,,N,T/CARTA,T/CARTA,,,,,0.00,,,,N,Y,6.00,,,Y
carpeta,10128,,,,,,T/OFICIO,,,,,0.00,,,,,Y,7.00,,,
cd/dvd,10133,CD/DVD,PAPELERÍA,,N,,,,,,,0.00,,,,N,Y,37.00,,,Y
clip,10143,CLIP,PAPELERÍA,,N,,,,,,,0.12,,,,N,Y,0.50,,,Y
copia-de-ine,10064,COPIA DE INE,COPIA T/ESTANDAR,,N,,,,,,,0.00,,,,N,Y,2.00,,,Y
copia-plano-img/fondo,10080,COPIA PLANO IMG/FONDO B/N,PLANOS,,N,45X60,45X60,,,,,0.00,,,,N,Y,39.00,,,Y
copia-plano-img/fondo,10082,,,,,,60X120,,,,,0.00,,,,,Y,60.00,,,
copia-plano-img/fondo,10081,,,,,,60X90,,,,,0.00,,,,,Y,48.00,,,
copia-plano-img/fondo,10083,,,,,,90X120,,,,,0.00,,,,,Y,85.00,,,
copia-plano-img/fondo,10084,,,,,,90X150,,,,,0.00,,,,,Y,95.00,,,
copia-plano-img/fondo-color,10100,COPIA PLANO IMG/FONDO COLOR,PLANOS,,N,45X60,45X60,,,,,0.00,,,,N,Y,45.00,,,Y
copia-plano-img/fondo-color,10102,,,,,,60X120,,,,,0.00,,,,,Y,85.00,,,
copia-plano-img/fondo-color,10101,,,,,,60X90,,,,,0.00,,,,,Y,70.00,,,
copia-plano-img/fondo-color,10103,,,,,,90X120,,,,,0.00,,,,,Y,125.00,,,
copia-plano-img/fondo-color,10104,,,,,,90X150,,,,,0.00,,,,,Y,145.00,,,
copia-plano-lineas/texto,10075,COPIA PLANO LINEAS/TEXTO B/N,PLANOS,,N,45X60,45X60,,,,,0.00,,,,N,Y,24.00,,,Y
copia-plano-lineas/texto,10077,,,,,,60X120,,,,,0.00,,,,,Y,42.00,,,
copia-plano-lineas/texto,10076,,,,,,60X90,,,,,0.00,,,,,Y,29.00,,,
copia-plano-lineas/texto,10078,,,,,,90X120,,,,,0.00,,,,,Y,55.00,,,
